Kinase.Gene,log2FC,mS,Enrichment,m,z.score,p.value,p_adj
AKT1,-0.140285282872739,-0.140285282872739,-5.79710560815836,15,-0.300376621929143,0.381944946913967,0.48437207087186657
AKT2,-0.226083132149146,-0.226083132149146,-9.34258937539991,3,-0.233616070752758,0.407641525146541,0.48437207087186657
AURKA,-0.0748655940071146,-0.0748655940071146,-3.09372263425852,1,-0.0338501320957384,0.486498329598809,0.49612634073775685
AURKB,-0.0928017736420415,-0.0928017736420415,-3.83491176986368,7,-0.121263412822594,0.451741199225934,0.48437207087186657
BUB1,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217,0.48437207087186657
CAMK1,-2.92119585732395,-2.92119585732395,-120.714593435891,1,-1.935478336665,0.0264658122654375,0.3931155623178038
CAMK2A,-0.495526361371386,-0.495526361371386,-20.4769779813774,5,-0.704121807638744,0.240678460168629,0.48437207087186657
CAMK2B,-0.0176704075034136,-0.0176704075034136,-0.730206450304622,2,0.00616861662254557,0.497539093624688,0.497539093624688
CAMK2D,0.218827655117898,0.218827655117898,9.04276628828489,4,0.324731614305219,0.372692102744549,0.48437207087186657
CAMK2G,0.240058832524416,0.240058832524416,9.92011689193148,1,0.176550319151368,0.429930810250718,0.48437207087186657
CDK1,-1.02888864063444,-1.02888864063444,-42.5174757226899,16,-2.68492495519564,0.00362730466026471,0.168669666702309
CDK13,0.428090405649117,0.428090405649117,17.6902754199709,1,0.302173879920731,0.381259757442683,0.48437207087186657
CDK16,-0.24148967744832,-0.24148967744832,-9.97924468468997,1,-0.145171386946559,0.442287778248351,0.48437207087186657
CDK2,0.332932684384956,0.332932684384956,13.7580071997866,9,0.715797524956623,0.237058190460778,0.48437207087186657
CDK4,-1.65476953159126,-1.65476953159126,-68.3811839371599,3,-1.88686350553045,0.0295893434002648,0.3931155623178038
CDK5,-0.170688003008,-0.170688003008,-7.05345820474026,8,-0.276815090262964,0.390961046717877,0.48437207087186657
CDK6,-1.48321410925981,-1.48321410925981,-61.2918807647823,3,-1.68834298905992,0.0456727037476278,0.432861406456013
CHEK1,-1.13995485856081,-1.13995485856081,-47.1071417349256,6,-1.82593387302031,0.033930111572389,0.3944375470290222
CHEK2,-0.188958012792395,-0.188958012792395,-7.80844243411452,2,-0.155669663786046,0.438146705201094,0.48437207087186657
CLK1,-0.518539432068747,-0.518539432068747,-21.4279629918409,1,-0.330267837012499,0.370598796527759,0.48437207087186657
CSNK2A1,-0.672264583863969,-0.672264583863969,-27.7804535834271,8,-1.22462787802424,0.110357729587373,0.48437207087186657
DAPK1,0.132425141969921,0.132425141969921,5.47229557837087,1,0.104640441243597,0.458330561685207,0.48437207087186657
DYRK2,-1.05644760168729,-1.05644760168729,-43.656313699154,2,-0.975302953084752,0.164705003039779,0.48437207087186657
DYRK3,-1.15146197430566,-1.15146197430566,-47.5826582242692,1,-0.753122265796479,0.22568822280786,0.48437207087186657
EEF2K,0.675414607767883,0.675414607767883,27.9106241962331,1,0.467410741040835,0.320103019659309,0.48437207087186657
FAM20C,-2.46896078661093,-2.46896078661093,-102.026571350106,1,-1.63334088738632,0.0511986609786682,0.432861406456013
FER,-0.252092173692296,-0.252092173692296,-10.4173789577783,1,-0.152254895897095,0.439492948973052,0.48437207087186657
GSK3A,0.626248317329551,0.626248317329551,25.8788916281707,3,0.752684899832004,0.225819643011733,0.48437207087186657
GSK3B,0.432975660874775,0.432975660874775,17.8921521948258,8,0.863908304674044,0.193819132188338,0.48437207087186657
IRAK1,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217,0.48437207087186657
JAK2,-0.252092173692296,-0.252092173692296,-10.4173789577783,1,-0.152254895897095,0.439492948973052,0.48437207087186657
MAP2K1,-0.176482725405932,-0.176482725405932,-7.29291751952274,2,-0.143882593409168,0.442796590550761,0.48437207087186657
MAP4K3,0.420379143615029,0.420379143615029,17.3716176144737,1,0.297021999421888,0.383224856767166,0.48437207087186657
MAPK1,-0.263646747365476,-0.263646747365476,-10.8948565838628,12,-0.554167875647907,0.289731980595479,0.48437207087186657
MAPK12,-0.401828895371226,-0.401828895371226,-16.6050528977426,1,-0.252293734282833,0.400407015423367,0.48437207087186657
MAPK13,-0.401828895371226,-0.401828895371226,-16.6050528977426,1,-0.252293734282833,0.400407015423367,0.48437207087186657
MAPK14,0.767749282172835,0.767749282172835,31.7262337018005,2,0.748259509666462,0.227151821139721,0.48437207087186657
MAPK3,0.0973361525741413,0.0973361525741413,4.02228904136718,9,0.24359264884214,0.40377316110187,0.48437207087186657
MAPK6,0.142525919205027,0.142525919205027,5.88969697042928,1,0.111388752613468,0.455654039335852,0.48437207087186657
MAPK8,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217,0.48437207087186657
MAPK9,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217,0.48437207087186657
MAPKAPK2,0.037252000579998903,0.037252000579998903,1.53939014168247,4,0.082110868299429,0.467279275328606,0.48828059107371197
MAPKAPK3,0.0445648828306713,0.0445648828306713,1.84158542431687,1,0.0459411578212772,0.48167857479716,0.49612634073775685
MASTL,-0.79418047396169,-0.79418047396169,-32.8184680902679,2,-0.727504165267021,0.233458582326603,0.48437207087186657
MELK,0.428090405649117,0.428090405649117,17.6902754199709,1,0.302173879920731,0.381259757442683,0.48437207087186657
MTOR,-0.665849313595126,-0.665849313595126,-27.5153509404999,3,-0.74250473355619,0.228890792450777,0.48437207087186657
MYLK,-0.28976063419684,-0.28976063419684,-11.9739787604794,1,-0.177421127602993,0.429588806570475,0.48437207087186657
NEK6,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217,0.48437207087186657
PAK1,-0.782415347720437,-0.782415347720437,-32.3322896550308,2,-0.716388078983591,0.236875876887571,0.48437207087186657
PAK2,-0.59195708938621,-0.59195708938621,-24.4618515385034,1,-0.379318043753299,0.352225851061546,0.48437207087186657
PDK1,-0.208717217493808,-0.208717217493808,-8.62496569330215,5,-0.275653883897426,0.391406959502609,0.48437207087186657
PDK2,-0.208717217493808,-0.208717217493808,-8.62496569330215,5,-0.275653883897426,0.391406959502609,0.48437207087186657
PDK3,-0.215107017399359,-0.215107017399359,-8.88901580682036,4,-0.255090357047995,0.399326655909704,0.48437207087186657
PDK4,-0.208717217493808,-0.208717217493808,-8.62496569330215,5,-0.275653883897426,0.391406959502609,0.48437207087186657
PDPK1,0.189873462792202,0.189873462792202,7.8462722065553,4,0.286043125146616,0.387422545867692,0.48437207087186657
PGK1,-1.28611762658712,-1.28611762658712,-53.1471267203635,2,-1.19230290371444,0.116571248190355,0.48437207087186657
PIM1,-0.369470157716873,-0.369470157716873,-15.2678704386307,2,-0.326223598953493,0.372127593906994,0.48437207087186657
PKM,-0.194683284953713,-0.194683284953713,-8.04503180881546,1,-0.113900119072619,0.454658485587954,0.48437207087186657
PLK1,-2.03733808560213,-2.03733808560213,-84.1903284500119,2,-1.90208121540039,0.0285802689160479,0.3931155623178038
PRKAA1,-1.79319612676523,-1.79319612676523,-74.1014817101578,2,-1.67140769569598,0.0473205884475256,0.432861406456013
PRKAA2,-1.0234316002666,-1.0234316002666,-42.2919706755992,2,-0.944108326439835,0.17255714741894,0.48437207087186657
PRKAB1,-0.665196396206507,-0.665196396206507,-27.4883699844244,1,-0.428249094843021,0.334234888079097,0.48437207087186657
PRKACA,-0.730514202899281,-0.730514202899281,-30.187542810948,27,-2.45200096502222,0.00710321404745292,0.22019963547104052
PRKAG2,-0.665196396206507,-0.665196396206507,-27.4883699844244,1,-0.428249094843021,0.334234888079097,0.48437207087186657
PRKCA,-0.433209814126011,-0.433209814126011,-17.9018282713045,9,-0.819777811466072,0.206171391165608,0.48437207087186657
PRKCB,-0.207320791516823,-0.207320791516823,-8.56726021845275,1,-0.122343214810861,0.45131360428216,0.48437207087186657
PRKCD,-0.404461373475828,-0.404461373475828,-16.7138366081293,3,-0.440031817419521,0.329957031543772,0.48437207087186657
PRKCE,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217,0.48437207087186657
PRKCG,-0.934808846908156,-0.934808846908156,-38.6297514464393,1,-0.60837669534144,0.271468832168801,0.48437207087186657
PRKCI,-0.758894702962204,-0.758894702962204,-31.3603298111807,1,-0.490848767531525,0.311766707440173,0.48437207087186657
PRKCQ,-0.55559800472876,-0.55559800472876,-22.959359978028,2,-0.502083437998689,0.307804414897512,0.48437207087186657
PRKCZ,-1.13464081374292,-1.13464081374292,-46.8875457916808,3,-1.28498091683025,0.0993994763326004,0.48437207087186657
PRKD1,0.308594655184645,0.308594655184645,12.75227001425,5,0.497165075137854,0.309536323839523,0.48437207087186657
PRKD2,-1.42077327886857,-1.42077327886857,-58.7115952164578,1,-0.933048671093303,0.175397419623392,0.48437207087186657
PRKG1,-1.33849493040154,-1.33849493040154,-55.3115502113026,5,-1.96344355613121,0.0247973284838043,0.3931155623178038
PRKG2,-5.35726166588126,-5.35726166588126,-221.381822894604,1,-3.56300958609251,1.8331364292291e-4,0.01704816879183063
RAF1,-0.272524711682008,-0.272524711682008,-11.2617268333606,1,-0.165905838316859,0.434115526429836,0.48437207087186657
RET,-0.252092173692296,-0.252092173692296,-10.4173789577783,1,-0.152254895897095,0.439492948973052,0.48437207087186657
ROCK1,-0.325411202111211,-0.325411202111211,-13.4471917943649,4,-0.402478417691137,0.343665984366942,0.48437207087186657
ROCK2,0.951600202617903,0.951600202617903,39.3236322325076,3,1.1291756188331,0.129411878344732,0.48437207087186657
RPS6KA1,-0.404042607130687,-0.404042607130687,-16.6965316372998,4,-0.507545422372245,0.305886087041662,0.48437207087186657
RPS6KA3,0.673200590169508,0.673200590169508,27.8191328182834,2,0.658926731016866,0.254971409772053,0.48437207087186657
RPS6KA6,0.893726069338408,0.893726069338408,36.9320594621392,1,0.613264241617917,0.269850816643327,0.48437207087186657
RPS6KB1,2.325830490521e-4,2.325830490521e-4,0.00961118992963542,2,0.0230839631842194,0.490791648901867,0.49612634073775685
RPS6KB2,0.206998396100084,0.206998396100084,8.55393765003963,2,0.21844324545691,0.413541886997926,0.48437207087186657
SGK1,-0.832370686685233,-0.832370686685233,-34.3966286201735,3,-0.935199948548353,0.174842632522064,0.48437207087186657
SIK1,0.133270317789736,0.133270317789736,5.50722136234904,1,0.105205101710969,0.458106531305249,0.48437207087186657
SLK,-0.984526613852361,-0.984526613852361,-40.6842730589367,1,-0.641593047325531,0.260568724233343,0.48437207087186657
SRC,-0.59195708938621,-0.59195708938621,-24.4618515385034,1,-0.379318043753299,0.352225851061546,0.48437207087186657
STK25,-0.24148967744832,-0.24148967744832,-9.97924468468997,1,-0.145171386946559,0.442287778248351,0.48437207087186657
STK3,-0.68397740691042,-0.68397740691042,-28.2644706576311,1,-0.440796654810029,0.329680107752307,0.48437207087186657
TBK1,0.633411795920887,0.633411795920887,26.1749130002303,2,0.621332942313566,0.267190291629189,0.48437207087186657
TRIB2,0.28295594828059,0.28295594828059,11.6927840258711,1,0.2052098061645,0.418704104134581,0.48437207087186657
