Entry,Gene Names,Protein names,protein_symbol
A0A087X1C5,CYP2D7,Putative cytochrome P450 2D7,CYP2D7
A0A0B4J2F0,PIGBOS1,Protein PIGBOS1,PIGBOS1
A0A0B4J2F2,SIK1B,Putative serine/threonine-protein kinase SIK1B,SIK1B
A0A0C5B5G6,MT-RNR1,Mitochondrial-derived peptide MOTS-c,MT-RNR1
A0A0K2S4Q6,CD300H,Protein CD300H,CD300H
A0A0U1RRE5,NBDY LINC01420,Negative regulator of P-body association,NBDY
A0A1B0GTW7,CIROP LMLN2,Ciliated left-right organizer metallopeptidase,CIROP
A0AV02,SLC12A8 CCC9,Solute carrier family 12 member 8,SLC12A8
A0AV96,RBM47,RNA-binding protein 47,RBM47
A0AVF1,IFT56 TTC26,Intraflagellar transport protein 56,IFT56
A0AVI4,TMEM129,E3 ubiquitin-protein ligase TM129,TMEM129
A0AVK6,E2F8,Transcription factor E2F8,E2F8
A0AVT1,UBA6 MOP4 UBE1L2,Ubiquitin-like modifier-activating enzyme 6,UBA6
A0FGR8,ESYT2 FAM62B KIAA1228,Extended synaptotagmin-2,ESYT2
A0FGR9,ESYT3 FAM62C,Extended synaptotagmin-3,ESYT3
A0JLT2,MED19 LCMR1,Mediator of RNA polymerase II transcription subunit 19,MED19
A0JNW5,BLTP3B KIAA0701 SHIP164 UHRF1BP1L,Bridge-like lipid transfer protein family member 3B,BLTP3B
A0JP26,POTEB3,POTE ankyrin domain family member B3,POTEB3
A0M8Q6,IGLC7,Immunoglobulin lambda constant 7,IGLC7
A0MZ66,SHTN1 KIAA1598,Shootin-1,SHTN1
A0PJK1,SLC5A10 SGLT5,Sodium/mannose cotransporter SLC5A10,SLC5A10
A0PJY2,FEZF1 FEZ ZNF312B,Fez family zinc finger protein 1,FEZF1
A0PK00,TMEM120B,Transmembrane protein 120B,TMEM120B
A0PK11,CLRN2,Clarin-2,CLRN2
A1A4S6,ARHGAP10 GRAF2,Rho GTPase-activating protein 10,ARHGAP10
A1A4Y4,IRGM IFI1 IRGM1 LRG47,Immunity-related GTPase family M protein,IRGM
A1A519,FAM170A ZNFD,Protein FAM170A,FAM170A
A1A5B4,ANO9 PIG5 TMEM16J TP53I5,Anoctamin-9,ANO9
A1A5C7,SLC22A23 C6orf85,Solute carrier family 22 member 23,SLC22A23
A1E959,ODAM APIN,Odontogenic ameloblast-associated protein,ODAM
A1KXE4,FAM168B KIAA0280L MANI,Myelin-associated neurite-outgrowth inhibitor,FAM168B
A1KZ92,PXDNL VPO2,Probable oxidoreductase PXDNL,PXDNL
A1L0T0,ILVBL AHAS HACL2,2-hydroxyacyl-CoA lyase 2,ILVBL
A1L167,UBE2QL1,Ubiquitin-conjugating enzyme E2Q-like protein 1,UBE2QL1
A1L190,SYCE3 C22orf41 THEG2,Synaptonemal complex central element protein 3,SYCE3
A1L390,PLEKHG3 KIAA0599,Pleckstrin homology domain-containing family G member 3,PLEKHG3
A1L3X0,ELOVL7,Very long chain fatty acid elongase 7,ELOVL7
A1L4H1,SSC5D,Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D,SSC5D
A1L4K1,FSD2 SPRYD1,Fibronectin type III and SPRY domain-containing protein 2,FSD2
A1X283,SH3PXD2B FAD49 KIAA1295 TKS4,SH3 and PX domain-containing protein 2B,SH3PXD2B
A1XBS5,CIBAR1 FAM92A FAM92A1,CBY1-interacting BAR domain-containing protein 1,CIBAR1
A1Z1Q3,MACROD2 C20orf133,ADP-ribose glycohydrolase MACROD2,MACROD2
A2A288,ZC3H12D C6orf95 MCPIP4 TFL,Probable ribonuclease ZC3H12D,ZC3H12D
